name,class,state,photo,party,elected,born,term,full_name,address,phone,website,official,twitter
Tom Carper,1,Delaware,"https://en.wikipedia.org/wiki/File:Tom_Carper,_official_portrait,_112th_Congress.jpg",Democratic,"January 3, 2001","January 23, 1947 (age 70)",2018,"Carper, Thomas R. - (D - DE)",513 Hart Senate Office Building Washington DC 20510,(202) 224-2441,http://www.carper.senate.gov/,senator,https://twitter.com/SenatorCarper
Bill Nelson,1,Florida,https://en.wikipedia.org/wiki/File:Bill_Nelson.jpg,Democratic,"January 3, 2001","September 29, 1942 (age 74)",2018,"Nelson, Bill - (D - FL)",716 Hart Senate Office Building Washington DC 20510,(202) 224-5274,http://www.billnelson.senate.gov/,senator,https://twitter.com/SenBillNelson
Marco Rubio,3,Florida,"https://en.wikipedia.org/wiki/File:Marco_Rubio,_Official_Portrait,_112th_Congress.jpg",Republican,"January 3, 2011","May 28, 1971 (age 46)",2022,"Rubio, Marco - (R - FL)",284 Russell Senate Office Building Washington DC 20510,(202) 224-3041,http://www.rubio.senate.gov/,senator,https://twitter.com/marcorubio
David Perdue,2,Georgia,"https://en.wikipedia.org/wiki/File:David_Perdue,_Official_Portrait,_114th_Congress.jpg",Republican,"January 3, 2015","December 10, 1949 (age 67)",2020,"Perdue, David - (R - GA)",455 Russell Senate Office Building Washington DC 20510,(202) 224-3521,http://www.perdue.senate.gov/,senator,https://twitter.com/perduesenate
Johnny Isakson,3,Georgia,https://en.wikipedia.org/wiki/File:Johnny_Isakson_official_Senate_photo.jpg,Republican,"January 3, 2005","December 28, 1944 (age 72)",2022,"Isakson, Johnny - (R - GA)",131 Russell Senate Office Building Washington DC 20510,(202) 224-3643,http://www.isakson.senate.gov/,senator,https://twitter.com/SenatorIsakson
Brian Schatz,3,Hawaii,"https://en.wikipedia.org/wiki/File:Brian_Schatz,_official_portrait,_113th_Congress_2.jpg",Democratic,"December 26, 2012","October 20, 1972 (age 44)",2022,"Schatz, Brian - (D - HI)",722 Hart Senate Office Building Washington DC 20510,(202) 224-3934,http://www.schatz.senate.gov/,senator,https://twitter.com/brianschatz
Mazie Hirono,1,Hawaii,"https://en.wikipedia.org/wiki/File:Mazie_Hirono,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 2013","November 3, 1947 (age 69)",2018,"Hirono, Mazie K. - (D - HI)",730 Hart Senate Office Building Washington DC 20510,(202) 224-6361,http://www.hirono.senate.gov/,senator,https://twitter.com/maziehirono
Jim Risch,2,Idaho,https://en.wikipedia.org/wiki/File:Jim_Risch_official_portrait.jpg,Republican,"January 3, 2009","May 3, 1943 (age 74)",2020,"Risch, James E. - (R - ID)",483 Russell Senate Office Building Washington DC 20510,(202) 224-2752,http://www.risch.senate.gov/,senator,https://twitter.com/SenatorRisch
Mike Crapo,3,Idaho,https://en.wikipedia.org/wiki/File:Mike_Crapo_Official_Photo_110th_Congress.jpg,Republican,"January 3, 1999","May 20, 1951 (age 66)",2022,"Crapo, Mike - (R - ID)",239 Dirksen Senate Office Building Washington DC 20510,(202) 224-6142,http://www.crapo.senate.gov/,senator,https://twitter.com/MikeCrapo
Dick Durbin,2,Illinois,https://en.wikipedia.org/wiki/File:Richard_Durbin_official_photo.jpg,Democratic,"January 3, 1997","November 21, 1944 (age 72)",2020,"Durbin, Richard J. - (D - IL)",711 Hart Senate Office Building Washington DC 20510,(202) 224-2152,http://www.durbin.senate.gov/,senator,https://twitter.com/SenatorDurbin
Tammy Duckworth,3,Illinois,"https://en.wikipedia.org/wiki/File:Tammy_Duckworth,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 2017","March 12, 1968 (age 49)",2022,"Duckworth, Tammy - (D - IL)",524 Hart Senate Office Building Washington DC 20510,(202) 224-2854,http://www.duckworth.senate.gov/,senator,https://twitter.com/SenDuckworth
Joe Donnelly,1,Indiana,"https://en.wikipedia.org/wiki/File:Joe_Donnelly,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 2013","September 29, 1955 (age 61)",2018,"Donnelly, Joe - (D - IN)",720 Hart Senate Office Building Washington DC 20510,(202) 224-4814,http://www.donnelly.senate.gov/,senator,https://twitter.com/SenDonnelly
Todd Young,3,Indiana,https://en.wikipedia.org/wiki/File:Senator_Todd_Young_official_portrait_(cropped).jpg,Republican,"January 3, 2017","August 24, 1972 (age 44)",2022,"Young, Todd - (R - IN)",400 Russell Senate Office Building Washington DC 20510,(202) 224-5623,http://www.young.senate.gov/,senator,https://twitter.com/SenToddYoung
Chuck Grassley,3,Iowa,https://en.wikipedia.org/wiki/File:Sen_Chuck_Grassley_official.jpg,Republican,"January 3, 1981","September 17, 1933 (age 83)",2022,"Grassley, Chuck - (R - IA)",135 Hart Senate Office Building Washington DC 20510,(202) 224-3744,http://www.grassley.senate.gov/,senator,https://twitter.com/ChuckGrassley
Joni Ernst,2,Iowa,https://en.wikipedia.org/wiki/File:Joni_Ernst_Official_photo_portrait_114th_Congress.jpg,Republican,"January 3, 2015","July 1, 1970 (age 46)",2020,"Ernst, Joni - (R - IA)",111 Russell Senate Office Building Washington DC 20510,(202) 224-3254,http://www.ernst.senate.gov/,senator,https://twitter.com/joniernst
Jerry Moran,3,Kansas,"https://en.wikipedia.org/wiki/File:Jerry_Moran,_official_portrait,_112th_Congress_headshot.jpg",Republican,"January 3, 2011","May 29, 1954 (age 63)",2022,"Moran, Jerry - (R - KS)",521 Dirksen Senate Office Building Washington DC 20510,(202) 224-6521,http://www.moran.senate.gov/,senator,https://twitter.com/JerryMoran
Pat Roberts,2,Kansas,https://en.wikipedia.org/wiki/File:Pat_Roberts_official_Senate_photo.jpg,Republican,"January 3, 1997","April 20, 1936 (age 81)",2020,"Roberts, Pat - (R - KS)",109 Hart Senate Office Building Washington DC 20510,(202) 224-4774,http://www.roberts.senate.gov/,senator,https://twitter.com/SenPatRoberts
Mitch McConnell,2,Kentucky,https://en.wikipedia.org/wiki/File:Mitch_McConnell_official_portrait_112th_Congress.jpg,Republican,"January 3, 1985","February 20, 1942 (age 75)",2020,"McConnell, Mitch - (R - KY)",317 Russell Senate Office Building Washington DC 20510,(202) 224-2541,http://www.mcconnell.senate.gov/,senator,https://twitter.com/SenateMajLdr
Rand Paul,3,Kentucky,"https://en.wikipedia.org/wiki/File:Rand_Paul,_official_portrait,_112th_Congress_alternate.jpg",Republican,"January 3, 2011","January 7, 1963 (age 54)",2022,"Paul, Rand - (R - KY)",167 Russell Senate Office Building Washington DC 20510,(202) 224-4343,http://www.paul.senate.gov/,senator,https://twitter.com/SenRandPaul
Bill Cassidy,2,Louisiana,https://en.wikipedia.org/wiki/File:Bill_Cassidy_official_Senate_photo.jpg,Republican,"January 3, 2015","September 28, 1957 (age 59)",2020,"Cassidy, Bill - (R - LA)",520 Hart Senate Office Building Washington DC 20510,(202) 224-5824,http://www.cassidy.senate.gov/,senator,https://twitter.com/BillCassidy
John N. Kennedy,3,Louisiana,"https://en.wikipedia.org/wiki/File:John_Neely_Kennedy,_official_portrait,_115th_Congress_2.jpg",Republican,"January 3, 2017","November 21, 1951 (age 65)",2022,"Kennedy, John - (R - LA)",383 Russell Senate Office Building Washington DC 20510,(202) 224-4623,http://www.kennedy.senate.gov/,senator,https://twitter.com/johnkennedyla
Angus King,1,Maine,https://en.wikipedia.org/wiki/File:Angus_King_official_portrait.jpg,Independent,"January 3, 2013","March 31, 1944 (age 73)",2018,"King, Angus S., Jr. - (I - ME)",133 Hart Senate Office Building Washington DC 20510,(202) 224-5344,http://www.king.senate.gov/,senator,https://twitter.com/SenAngusKing
Susan Collins,2,Maine,https://en.wikipedia.org/wiki/File:Sen_Susan_Collins_official.jpg,Republican,"January 3, 1997","December 7, 1952 (age 64)",2020,"Collins, Susan M. - (R - ME)",413 Dirksen Senate Office Building Washington DC 20510,(202) 224-2523,http://www.collins.senate.gov/,senator,https://twitter.com/SenatorCollins
Ben Cardin,1,Maryland,https://en.wikipedia.org/wiki/File:Ben_Cardin_official_Senate_portrait.jpg,Democratic,"January 3, 2007","October 5, 1943 (age 73)",2018,"Cardin, Benjamin L. - (D - MD)",509 Hart Senate Office Building Washington DC 20510,(202) 224-4524,http://www.cardin.senate.gov/,senator,https://twitter.com/SenatorCardin
Chris Van Hollen,3,Maryland,"https://en.wikipedia.org/wiki/File:Chris_Van_Hollen_official_portrait,_2010.jpg",Democratic,"January 3, 2017","January 10, 1959 (age 58)",2022,"Van Hollen, Chris - (D - MD)",110 Hart Senate Office Building Washington DC 20510,(202) 224-4654,http://www.vanhollen.senate.gov/,senator,https://twitter.com/ChrisVanHollen
Ed Markey,2,Massachusetts,"https://en.wikipedia.org/wiki/File:Edward_Markey,_official_portrait,_114th_Congress.jpg",Democratic,"July 16, 2013","July 11, 1946 (age 70)",2020,"Markey, Edward J. - (D - MA)",255 Dirksen Senate Office Building Washington DC 20510,(202) 224-2742,http://www.markey.senate.gov/,senator,https://twitter.com/senmarkey
Elizabeth Warren,1,Massachusetts,"https://en.wikipedia.org/wiki/File:Elizabeth_Warren,_official_portrait,_114th_Congress.jpg",Democratic,"January 3, 2013","June 22, 1949 (age 67)",2018,"Warren, Elizabeth - (D - MA)",317 Hart Senate Office Building Washington DC 20510,(202) 224-4543,http://www.warren.senate.gov/,senator,https://twitter.com/SenWarren
Debbie Stabenow,1,Michigan,"https://en.wikipedia.org/wiki/File:Debbie_Stabenow,_official_portrait_2.jpg",Democratic,"January 3, 2001","April 29, 1950 (age 67)",2018,"Stabenow, Debbie - (D - MI)",731 Hart Senate Office Building Washington DC 20510,(202) 224-4822,http://www.stabenow.senate.gov/,senator,https://twitter.com/SenStabenow
Gary Peters,2,Michigan,"https://en.wikipedia.org/wiki/File:Gary_Peters,_official_portrait,_114th_Congress.jpg",Democratic,"January 3, 2015","December 1, 1958 (age 58)",2020,"Peters, Gary C. - (D - MI)",724 Hart Senate Office Building Washington DC 20510,(202) 224-6221,http://www.peters.senate.gov/,senator,https://twitter.com/SenGaryPeters
Al Franken,2,Minnesota,https://en.wikipedia.org/wiki/File:Al_Franken_Official_Senate_Portrait.jpg,Democratic,"July 7, 2009","May 21, 1951 (age 66)",2020,"Franken, Al - (D - MN)",309 Hart Senate Office Building Washington DC 20510,(202) 224-5641,http://www.franken.senate.gov/,senator,https://twitter.com/SenFranken
Amy Klobuchar,1,Minnesota,"https://en.wikipedia.org/wiki/File:Amy_Klobuchar,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 2007","May 25, 1960 (age 57)",2018,"Klobuchar, Amy - (D - MN)",302 Hart Senate Office Building Washington DC 20510,(202) 224-3244,http://www.klobuchar.senate.gov/,senator,https://twitter.com/amyklobuchar
Roger Wicker,1,Mississippi,https://en.wikipedia.org/wiki/File:SenatorRogerWicker(R-MS).jpg,Republican,"December 31, 2007","July 5, 1951 (age 65)",2018,"Wicker, Roger F. - (R - MS)",555 Dirksen Senate Office Building Washington DC 20510,(202) 224-6253,http://www.wicker.senate.gov/,senator,https://twitter.com/SenatorWicker
Thad Cochran,2,Mississippi,https://en.wikipedia.org/wiki/File:CochranThad(R-MS).jpg,Republican,"December 27, 1978","December 7, 1937 (age 79)",2020,"Cochran, Thad - (R - MS)",113 Dirksen Senate Office Building Washington DC 20510,(202) 224-5054,http://www.cochran.senate.gov/,senator,https://twitter.com/SenThadCochran
Claire McCaskill,1,Missouri,"https://en.wikipedia.org/wiki/File:Claire_McCaskill,_official_Senate_photo_portrait,_standing,_2007.jpg",Democratic,"January 3, 2007","July 24, 1953 (age 63)",2018,"McCaskill, Claire - (D - MO)",503 Hart Senate Office Building Washington DC 20510,(202) 224-6154,http://www.mccaskill.senate.gov/,senator,https://twitter.com/clairecmc
Roy Blunt,3,Missouri,"https://en.wikipedia.org/wiki/File:Roy_Blunt,_Official_Portrait,_112th_Congress.jpg",Republican,"January 3, 2011","January 10, 1950 (age 67)",2022,"Blunt, Roy - (R - MO)",260 Russell Senate Office Building Washington DC 20510,(202) 224-5721,http://www.blunt.senate.gov/,senator,https://twitter.com/RoyBlunt
Jon Tester,1,Montana,"https://en.wikipedia.org/wiki/File:Jon_Tester,_official_110th_Congress_photo.jpg",Democratic,"January 3, 2007","August 21, 1956 (age 60)",2018,"Tester, Jon - (D - MT)",311 Hart Senate Office Building Washington DC 20510,(202) 224-2644,http://www.tester.senate.gov/,senator,https://twitter.com/SenatorTester
Steve Daines,2,Montana,https://en.wikipedia.org/wiki/File:Steve_Daines_official_Senate_portrait.jpg,Republican,"January 3, 2015","August 20, 1962 (age 54)",2020,"Daines, Steve - (R - MT)",320 Hart Senate Office Building Washington DC 20510,(202) 224-2651,http://www.daines.senate.gov/,senator,https://twitter.com/SteveDaines
Ben Sasse,2,Nebraska,https://en.wikipedia.org/wiki/File:Ben_Sasse_official_portrait_(crop).jpg,Republican,"January 3, 2015","February 22, 1972 (age 45)",2020,"Sasse, Ben - (R - NE)",136 Russell Senate Office Building Washington DC 20510,(202) 224-4224,http://www.sasse.senate.gov/,senator,https://twitter.com/sensasse
Deb Fischer,1,Nebraska,https://en.wikipedia.org/wiki/File:Deb_Fischer_official_Senate_photo.jpg,Republican,"January 3, 2013","March 1, 1951 (age 66)",2018,"Fischer, Deb - (R - NE)",454 Russell Senate Office Building Washington DC 20510,(202) 224-6551,http://www.fischer.senate.gov/,senator,https://twitter.com/SenatorFischer
Catherine Cortez Masto,3,Nevada,https://en.wikipedia.org/wiki/File:Catherine_Cortez_Masto_official_portrait.jpg,Democratic,"January 3, 2017","March 29, 1964 (age 53)",2022,"Cortez Masto, Catherine - (D - NV)",204 Russell Senate Office Building Washington DC 20510,(202) 224-3542,http://www.cortezmasto.senate.gov/,senator,https://twitter.com/catherinefornv
Dean Heller,1,Nevada,"https://en.wikipedia.org/wiki/File:Dean_Heller,_Official_Senate_Portrait,_112th_Congress.jpg",Republican,"May 9, 2011","May 10, 1960 (age 57)",2018,"Heller, Dean - (R - NV)",324 Hart Senate Office Building Washington DC 20510,(202) 224-6244,http://www.heller.senate.gov/,senator,https://twitter.com/SenDeanHeller
Jeanne Shaheen,2,New Hampshire,"https://en.wikipedia.org/wiki/File:Jeanne_Shaheen,_official_Senate_photo_portrait,_2009.jpg",Democratic,"January 3, 2009","January 28, 1947 (age 70)",2020,"Shaheen, Jeanne - (D - NH)",506 Hart Senate Office Building Washington DC 20510,(202) 224-2841,http://www.shaheen.senate.gov/,senator,https://twitter.com/SenatorShaheen
Maggie Hassan,3,New Hampshire,"https://en.wikipedia.org/wiki/File:Maggie_Hassan,_official_portrait,_115th_Congress.jpg",Democratic,"January 3, 2017","February 27, 1958 (age 59)",2022,"Hassan, Margaret Wood - (D - NH)",330 Hart Senate Office Building Washington DC 20510,(202) 224-3324,http://www.hassan.senate.gov/,senator,https://twitter.com/maggie_hassan
Bob Menendez,1,New Jersey,"https://en.wikipedia.org/wiki/File:Robert_Menendez,_official_Senate_photo.jpg",Democratic,"January 18, 2006","January 1, 1954 (age 63)",2018,"Menendez, Robert - (D - NJ)",528 Hart Senate Office Building Washington DC 20510,(202) 224-4744,http://www.menendez.senate.gov/,senator,https://twitter.com/SenatorMenendez
Cory Booker,2,New Jersey,"https://en.wikipedia.org/wiki/File:Cory_Booker,_official_portrait,_114th_Congress.jpg",Democratic,"October 31, 2013","April 27, 1969 (age 48)",2020,"Booker, Cory A. - (D - NJ)",359 Dirksen Senate Office Building Washington DC 20510,(202) 224-3224,http://www.booker.senate.gov/,senator,https://twitter.com/CoryBooker
Martin Heinrich,1,New Mexico,"https://en.wikipedia.org/wiki/File:Martin_Heinrich,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 2013","October 17, 1971 (age 45)",2018,"Heinrich, Martin - (D - NM)",303 Hart Senate Office Building Washington DC 20510,(202) 224-5521,http://www.heinrich.senate.gov/,senator,https://twitter.com/MartinHeinrich
Tom Udall,2,New Mexico,https://en.wikipedia.org/wiki/File:Tom_Udall_official_Senate_portrait.jpg,Democratic,"January 3, 2009","May 18, 1948 (age 69)",2020,"Udall, Tom - (D - NM)",531 Hart Senate Office Building Washington DC 20510,(202) 224-6621,http://www.tomudall.senate.gov/,senator,https://twitter.com/SenatorTomUdall
Chuck Schumer,3,New York,https://en.wikipedia.org/wiki/File:Senator_Chuck_Schumer_(cropped).jpg,Democratic,"January 3, 1999","November 23, 1950 (age 66)",2022,"Schumer, Charles E. - (D - NY)",322 Hart Senate Office Building Washington DC 20510,(202) 224-6542,http://www.schumer.senate.gov/,senator,https://twitter.com/SenSchumer
Kirsten Gillibrand,1,New York,"https://en.wikipedia.org/wiki/File:Kirsten_Gillibrand,_official_portrait,_112th_Congress.jpg",Democratic,"January 26, 2009","December 9, 1966 (age 50)",2018,"Gillibrand, Kirsten E. - (D - NY)",478 Russell Senate Office Building Washington DC 20510,(202) 224-4451,http://www.gillibrand.senate.gov/,senator,https://twitter.com/SenGillibrand
Richard Burr,3,North Carolina,https://en.wikipedia.org/wiki/File:Richard_Burr_official_portrait.jpg,Republican,"January 3, 2005","November 30, 1955 (age 61)",2022,"Burr, Richard - (R - NC)",217 Russell Senate Office Building Washington DC 20510,(202) 224-3154,http://www.burr.senate.gov/,senator,https://twitter.com/SenatorBurr
Thom Tillis,2,North Carolina,https://en.wikipedia.org/wiki/File:Senator_Thom_Tillis_Official_Portrait.jpg,Republican,"January 3, 2015","August 30, 1960 (age 56)",2020,"Tillis, Thom - (R - NC)",185 Dirksen Senate Office Building Washington DC 20510,(202) 224-6342,http://www.tillis.senate.gov/,senator,https://twitter.com/ThomTillis
Heidi Heitkamp,1,North Dakota,https://en.wikipedia.org/wiki/File:Heidi_Heitkamp_official_portrait_113th_Congress.jpg,Democratic,"January 3, 2013","October 30, 1955 (age 61)",2018,"Heitkamp, Heidi - (D - ND)",516 Hart Senate Office Building Washington DC 20510,(202) 224-2043,http://www.heitkamp.senate.gov/,senator,https://twitter.com/SenatorHeitkamp
John Hoeven,3,North Dakota,https://en.wikipedia.org/wiki/File:Hoeven_Official_Portrait_2014.JPG,Republican,"January 3, 2011","March 13, 1957 (age 60)",2022,"Hoeven, John - (R - ND)",338 Russell Senate Office Building Washington DC 20510,(202) 224-2551,http://www.hoeven.senate.gov/,senator,https://twitter.com/SenJohnHoeven
Rob Portman,3,Ohio,"https://en.wikipedia.org/wiki/File:Rob_Portman,_official_portrait,_112th_Congress.jpg",Republican,"January 3, 2011","December 19, 1955 (age 61)",2022,"Portman, Rob - (R - OH)",448 Russell Senate Office Building Washington DC 20510,(202) 224-3353,http://www.portman.senate.gov/,senator,https://twitter.com/robportman
Sherrod Brown,1,Ohio,https://en.wikipedia.org/wiki/File:Sherrod_Brown_official_photo_2009_2.jpg,Democratic,"January 3, 2007","November 9, 1952 (age 64)",2018,"Brown, Sherrod - (D - OH)",713 Hart Senate Office Building Washington DC 20510,(202) 224-2315,http://www.brown.senate.gov/,senator,https://twitter.com/SenSherrodBrown
James Lankford,3,Oklahoma,https://en.wikipedia.org/wiki/File:Senator_James_Lankford_official_portrait_115th_congress.jpg,Republican,"January 3, 2015","March 4, 1968 (age 49)",2022,"Lankford, James - (R - OK)",316 Hart Senate Office Building Washington DC 20510,(202) 224-5754,http://www.lankford.senate.gov/,senator,https://twitter.com/SenatorLankford
Jim Inhofe,2,Oklahoma,https://en.wikipedia.org/wiki/File:Jim_Inhofe_official_senate_portrait_115th_congress.jpg,Republican,"November 17, 1994","November 17, 1934 (age 82)",2020,"Inhofe, James M. - (R - OK)",205 Russell Senate Office Building Washington DC 20510,(202) 224-4721,http://www.inhofe.senate.gov/,senator,https://twitter.com/jiminhofe
Jeff Merkley,2,Oregon,https://en.wikipedia.org/wiki/File:Jeff_Merkley.jpg,Democratic,"January 3, 2009","October 24, 1956 (age 60)",2020,"Merkley, Jeff - (D - OR)",313 Hart Senate Office Building Washington DC 20510,(202) 224-3753,http://www.merkley.senate.gov/,senator,https://twitter.com/SenJeffMerkley
Ron Wyden,3,Oregon,https://en.wikipedia.org/wiki/File:Ron_Wyden_official_portrait_crop.jpg,Democratic,"February 6, 1996","May 3, 1949 (age 68)",2022,"Wyden, Ron - (D - OR)",221 Dirksen Senate Office Building Washington DC 20510,(202) 224-5244,http://www.wyden.senate.gov/,senator,https://twitter.com/RonWyden
Bob Casey Jr.,1,Pennsylvania,https://en.wikipedia.org/wiki/File:Senator_Bob_Casey_official_photo_2007.jpg,Democratic,"January 3, 2007","April 13, 1960 (age 57)",2018,"Casey, Robert P., Jr. - (D - PA)",393 Russell Senate Office Building Washington DC 20510,(202) 224-6324,http://www.casey.senate.gov/,senator,https://twitter.com/SenBobCasey
Pat Toomey,3,Pennsylvania,"https://en.wikipedia.org/wiki/File:Pat_Toomey,_Official_Portrait,_112th_Congress.jpg",Republican,"January 3, 2011","November 17, 1961 (age 55)",2022,"Toomey, Patrick J. - (R - PA)",248 Russell Senate Office Building Washington DC 20510,(202) 224-4254,http://www.toomey.senate.gov/,senator,https://twitter.com/SenToomey
Jack Reed,2,Rhode Island,"https://en.wikipedia.org/wiki/File:Jack_Reed,_official_portrait,_112th_Congress.jpg",Democratic,"January 3, 1997","November 12, 1949 (age 67)",2020,"Reed, Jack - (D - RI)",728 Hart Senate Office Building Washington DC 20510,(202) 224-4642,http://www.reed.senate.gov/,senator,https://twitter.com/SenJackReed
Sheldon Whitehouse,1,Rhode Island,https://en.wikipedia.org/wiki/File:Sheldon_Whitehouse_2010.jpg,Democratic,"January 3, 2007","October 20, 1955 (age 61)",2018,"Whitehouse, Sheldon - (D - RI)",530 Hart Senate Office Building Washington DC 20510,(202) 224-2921,http://www.whitehouse.senate.gov/,senator,https://twitter.com/SenWhitehouse
Lindsey Graham,2,South Carolina,"https://en.wikipedia.org/wiki/File:Lindsey_Graham,_Official_Portrait_2006.jpg",Republican,"January 3, 2003","July 9, 1955 (age 61)",2020,"Graham, Lindsey - (R - SC)",290 Russell Senate Office Building Washington DC 20510,(202) 224-5972,http://www.lgraham.senate.gov/,senator,https://twitter.com/GrahamBlog
Tim Scott,3,South Carolina,"https://en.wikipedia.org/wiki/File:Tim_Scott,_official_portrait,_113th_Congress.jpg",Republican,"January 2, 2013","September 19, 1965 (age 51)",2022,"Scott, Tim - (R - SC)",717 Hart Senate Office Building Washington DC 20510,(202) 224-6121,http://www.scott.senate.gov/,senator,https://twitter.com/SenatorTimScott
John Thune,3,South Dakota,"https://en.wikipedia.org/wiki/File:John_Thune,_official_portrait,_111th_Congress.jpg",Republican,"January 3, 2005","January 7, 1961 (age 56)",2022,"Thune, John - (R - SD)",511 Dirksen Senate Office Building Washington DC 20510,(202) 224-2321,http://www.thune.senate.gov/,senator,https://twitter.com/SenJohnThune
